printouts,fulltext,fullurl,namespace,exists,displaytitle
[],Ammannia auriculata,//floranorthamerica.org/Ammannia_auriculata,0,1,Ammannia auriculata
[],Ammannia coccinea,//floranorthamerica.org/Ammannia_coccinea,0,1,Ammannia coccinea
[],Ammannia grayi,//floranorthamerica.org/Ammannia_grayi,0,1,Ammannia grayi
[],Ammannia latifolia,//floranorthamerica.org/Ammannia_latifolia,0,1,Ammannia latifolia
[],Ammannia robusta,//floranorthamerica.org/Ammannia_robusta,0,1,Ammannia robusta
[],Asemeia grandiflora,//floranorthamerica.org/Asemeia_grandiflora,0,1,Asemeia grandiflora
[],Buxus sempervirens,//floranorthamerica.org/Buxus_sempervirens,0,1,Buxus sempervirens
[],Calyptranthes pallens,//floranorthamerica.org/Calyptranthes_pallens,0,1,Calyptranthes pallens
[],Calyptranthes zuzygium,//floranorthamerica.org/Calyptranthes_zuzygium,0,1,Calyptranthes zuzygium
[],Camissonia benitensis,//floranorthamerica.org/Camissonia_benitensis,0,1,Camissonia benitensis
[],Camissonia campestris,//floranorthamerica.org/Camissonia_campestris,0,1,Camissonia campestris
[],Camissonia contorta,//floranorthamerica.org/Camissonia_contorta,0,1,Camissonia contorta
[],Camissonia integrifolia,//floranorthamerica.org/Camissonia_integrifolia,0,1,Camissonia integrifolia
[],Camissonia kernensis,//floranorthamerica.org/Camissonia_kernensis,0,1,Camissonia kernensis
[],Camissonia lacustris,//floranorthamerica.org/Camissonia_lacustris,0,1,Camissonia lacustris
[],Camissonia parvula,//floranorthamerica.org/Camissonia_parvula,0,1,Camissonia parvula
[],Camissonia pubens,//floranorthamerica.org/Camissonia_pubens,0,1,Camissonia pubens
[],Camissonia pusilla,//floranorthamerica.org/Camissonia_pusilla,0,1,Camissonia pusilla
[],Camissonia sierrae,//floranorthamerica.org/Camissonia_sierrae,0,1,Camissonia sierrae
[],Camissonia strigulosa,//floranorthamerica.org/Camissonia_strigulosa,0,1,Camissonia strigulosa
[],Camissoniopsis bistorta,//floranorthamerica.org/Camissoniopsis_bistorta,0,1,Camissoniopsis bistorta
[],Camissoniopsis cheiranthifolia,//floranorthamerica.org/Camissoniopsis_cheiranthifolia,0,1,Camissoniopsis cheiranthifolia
[],Camissoniopsis confusa,//floranorthamerica.org/Camissoniopsis_confusa,0,1,Camissoniopsis confusa
[],Camissoniopsis guadalupensis,//floranorthamerica.org/Camissoniopsis_guadalupensis,0,1,Camissoniopsis guadalupensis
[],Camissoniopsis hardhamiae,//floranorthamerica.org/Camissoniopsis_hardhamiae,0,1,Camissoniopsis hardhamiae
[],Camissoniopsis hirtella,//floranorthamerica.org/Camissoniopsis_hirtella,0,1,Camissoniopsis hirtella
[],Camissoniopsis ignota,//floranorthamerica.org/Camissoniopsis_ignota,0,1,Camissoniopsis ignota
[],Camissoniopsis intermedia,//floranorthamerica.org/Camissoniopsis_intermedia,0,1,Camissoniopsis intermedia
[],Camissoniopsis lewisii,//floranorthamerica.org/Camissoniopsis_lewisii,0,1,Camissoniopsis lewisii
[],Camissoniopsis luciae,//floranorthamerica.org/Camissoniopsis_luciae,0,1,Camissoniopsis luciae
[],Camissoniopsis micrantha,//floranorthamerica.org/Camissoniopsis_micrantha,0,1,Camissoniopsis micrantha
[],Camissoniopsis pallida,//floranorthamerica.org/Camissoniopsis_pallida,0,1,Camissoniopsis pallida
[],Camissoniopsis robusta,//floranorthamerica.org/Camissoniopsis_robusta,0,1,Camissoniopsis robusta
[],Chamaenerion angustifolium,//floranorthamerica.org/Chamaenerion_angustifolium,0,1,Chamaenerion angustifolium
[],Chamaenerion latifolium,//floranorthamerica.org/Chamaenerion_latifolium,0,1,Chamaenerion latifolium
[],Chamelaucium uncinatum,//floranorthamerica.org/Chamelaucium_uncinatum,0,1,Chamelaucium uncinatum
[],Chylismia arenaria,//floranorthamerica.org/Chylismia_arenaria,0,1,Chylismia arenaria
[],Chylismia atwoodii,//floranorthamerica.org/Chylismia_atwoodii,0,1,Chylismia atwoodii
[],Chylismia brevipes,//floranorthamerica.org/Chylismia_brevipes,0,1,Chylismia brevipes
[],Chylismia cardiophylla,//floranorthamerica.org/Chylismia_cardiophylla,0,1,Chylismia cardiophylla
[],Chylismia claviformis,//floranorthamerica.org/Chylismia_claviformis,0,1,Chylismia claviformis
[],Chylismia confertiflora,//floranorthamerica.org/Chylismia_confertiflora,0,1,Chylismia confertiflora
[],Chylismia eastwoodiae,//floranorthamerica.org/Chylismia_eastwoodiae,0,1,Chylismia eastwoodiae
[],Chylismia exilis,//floranorthamerica.org/Chylismia_exilis,0,1,Chylismia exilis
[],Chylismia heterochroma,//floranorthamerica.org/Chylismia_heterochroma,0,1,Chylismia heterochroma
[],Chylismia megalantha,//floranorthamerica.org/Chylismia_megalantha,0,1,Chylismia megalantha
[],Chylismia multijuga,//floranorthamerica.org/Chylismia_multijuga,0,1,Chylismia multijuga
[],Chylismia munzii,//floranorthamerica.org/Chylismia_munzii,0,1,Chylismia munzii
[],Chylismia parryi,//floranorthamerica.org/Chylismia_parryi,0,1,Chylismia parryi
[],Chylismia scapoidea,//floranorthamerica.org/Chylismia_scapoidea,0,1,Chylismia scapoidea
[],Chylismia specicola,//floranorthamerica.org/Chylismia_specicola,0,1,Chylismia specicola
[],Chylismia walkeri,//floranorthamerica.org/Chylismia_walkeri,0,1,Chylismia walkeri
[],Chylismiella pterosperma,//floranorthamerica.org/Chylismiella_pterosperma,0,1,Chylismiella pterosperma
[],Circaea alpina,//floranorthamerica.org/Circaea_alpina,0,1,Circaea alpina
[],Circaea canadensis,//floranorthamerica.org/Circaea_canadensis,0,1,Circaea canadensis
[],Circaea ×sterilis,//floranorthamerica.org/Circaea_%C3%97sterilis,0,1,Circaea ×sterilis
[],Clarkia affinis,//floranorthamerica.org/Clarkia_affinis,0,1,Clarkia affinis
[],Clarkia amoena,//floranorthamerica.org/Clarkia_amoena,0,1,Clarkia amoena
[],Clarkia arcuata,//floranorthamerica.org/Clarkia_arcuata,0,1,Clarkia arcuata
[],Clarkia australis,//floranorthamerica.org/Clarkia_australis,0,1,Clarkia australis
[],Clarkia biloba,//floranorthamerica.org/Clarkia_biloba,0,1,Clarkia biloba
[],Clarkia borealis,//floranorthamerica.org/Clarkia_borealis,0,1,Clarkia borealis
[],Clarkia bottae,//floranorthamerica.org/Clarkia_bottae,0,1,Clarkia bottae
[],Clarkia breweri,//floranorthamerica.org/Clarkia_breweri,0,1,Clarkia breweri
[],Clarkia concinna,//floranorthamerica.org/Clarkia_concinna,0,1,Clarkia concinna
[],Clarkia cylindrica,//floranorthamerica.org/Clarkia_cylindrica,0,1,Clarkia cylindrica
[],Clarkia davyi,//floranorthamerica.org/Clarkia_davyi,0,1,Clarkia davyi
[],Clarkia delicata,//floranorthamerica.org/Clarkia_delicata,0,1,Clarkia delicata
[],Clarkia dudleyana,//floranorthamerica.org/Clarkia_dudleyana,0,1,Clarkia dudleyana
[],Clarkia epilobioides,//floranorthamerica.org/Clarkia_epilobioides,0,1,Clarkia epilobioides
